CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Timestamp,Churn
CUST1000,Male,0,No,No,25,No,DSL,One year,Credit card,51.71,,2024-11-29T14:48:50,No
CUST1001,Female,0,No,No,25,Yes,DSL,Two year,Credit card,59.16,5570.22,2022-01-19T22:30:08,No
CUST1002,Male,1,Yes,No,16,No,Fiber optic,Month-to-month,Mailed check,51.69,4379.74,2020-01-04T11:39:47,No
CUST1003,Male,0,No,Yes,43,No,DSL,Month-to-month,Electronic check,108.42,5659.11,2020-12-04T20:18:01,No
CUST1004,Male,1,Yes,Yes,22,Yes,Fiber optic,Two year,Mailed check,71.15,4566.5,2023-04-17T13:39:58,No
CUST1005,Female,0,No,Yes,24,No,DSL,Month-to-month,Electronic check,115.36,6491.72,2024-07-13T17:47:43,No
CUST1006,Male,0,No,No,36,No,No,Month-to-month,Mailed check,52.13,3513.6,2024-06-04T16:22:29,No
CUST1007,Male,0,No,Yes,64,No,No,Month-to-month,Credit card,23.72,6748.05,2021-08-08T11:59:18,Yes
CUST1008,Male,0,Yes,No,1,No,No,Month-to-month,Bank transfer,33.81,7130.3,2022-07-16T07:45:20,No
CUST1009,Female,0,Yes,Yes,31,No,No,Month-to-month,Bank transfer,41.71,6752.51,2021-04-27T18:44:12,No
CUST1010,Male,0,No,Yes,54,Yes,Fiber optic,Two year,Electronic check,84.0,247.25,2023-01-17T03:42:38,Yes
CUST1011,Male,0,No,Yes,49,No,Fiber optic,Month-to-month,Credit card,38.11,7324.74,2025-01-19T10:22:34,Yes
CUST1012,Male,0,Yes,Yes,64,No,Fiber optic,Month-to-month,Electronic check,58.15,3845.64,2024-11-20T08:28:00,Yes
CUST1013,Male,0,Yes,No,31,Yes,Fiber optic,Two year,Mailed check,99.54,2664.56,2020-12-12T02:56:21,No
CUST1014,Female,0,Yes,Yes,36,No,Fiber optic,One year,Credit card,32.48,1093.67,2023-10-24T08:17:20,No
CUST1015,Male,0,No,Yes,12,No,No,Month-to-month,Mailed check,28.05,3917.26,2023-10-09T00:32:40,No
CUST1016,Female,0,Yes,No,53,No,DSL,One year,Mailed check,74.0,5823.05,2020-06-10T20:43:31,No
CUST1017,Female,0,Yes,No,2,Yes,DSL,One year,Electronic check,89.81,1194.42,2024-09-16T12:52:14,Yes
CUST1018,Female,0,Yes,Yes,41,No,No,Two year,Mailed check,111.1,7456.16,2024-03-18T09:24:04,No
CUST1019,Male,1,Yes,Yes,39,No,No,One year,Electronic check,86.2,2119.32,2022-11-09T07:03:12,No
CUST1020,Female,0,Yes,No,65,No,Fiber optic,One year,Mailed check,114.62,7507.05,2024-04-03T09:56:30,Yes
CUST1021,Male,0,Yes,No,59,No,Fiber optic,One year,Electronic check,44.45,1250.79,2024-04-03T08:30:59,Yes
CUST1022,Female,1,Yes,Yes,10,No,DSL,Two year,Mailed check,54.18,3381.73,2025-05-11T22:53:06,No
CUST1023,Female,0,No,No,0,Yes,DSL,Month-to-month,Mailed check,103.93,6503.78,2021-08-12T07:00:30,No
CUST1024,Female,1,Yes,No,25,No,Fiber optic,Two year,Mailed check,101.11,5624.9,2024-12-23T21:44:24,No
CUST1025,Female,0,No,Yes,41,Yes,Fiber optic,Two year,Electronic check,86.49,6987.59,2022-01-28T13:38:12,Yes
CUST1026,Female,0,No,Yes,61,No,No,Two year,Credit card,70.6,2354.38,2023-07-10T06:25:48,No
CUST1027,Female,0,Yes,Yes,60,No,Fiber optic,Month-to-month,Bank transfer,21.77,4647.35,2020-02-03T14:18:09,No
CUST1028,Female,0,No,No,61,No,No,One year,Bank transfer,48.04,5005.45,2023-08-06T11:56:09,No
CUST1029,Female,0,No,Yes,11,Yes,,Month-to-month,,,7150.79,2025-01-29T12:19:19,No
CUST1030,Male,0,Yes,Yes,26,Yes,DSL,One year,Electronic check,25.12,5136.94,2024-11-12T12:33:03,No
CUST1031,Male,0,No,Yes,66,No,,Month-to-month,,,4304.44,2024-08-04T00:22:24,No
CUST1032,Female,0,Yes,No,27,No,DSL,Two year,Credit card,33.13,3046.81,2022-12-04T06:49:33,No
CUST1033,Female,0,Yes,Yes,65,Yes,,Two year,,,1717.23,2021-04-02T21:19:10,No
CUST1034,Female,0,Yes,Yes,27,Yes,No,One year,Bank transfer,117.75,6050.23,2022-06-26T20:00:26,No
CUST1035,Male,0,Yes,No,20,Yes,,Two year,,,2185.25,2020-08-01T21:38:05,Yes
CUST1036,Female,0,Yes,No,6,No,DSL,Two year,Mailed check,34.15,5251.7,2023-10-29T14:04:16,No
CUST1037,Male,1,Yes,Yes,13,Yes,Fiber optic,Month-to-month,Electronic check,88.98,7338.16,2021-08-01T15:14:47,Yes
CUST1038,Male,0,Yes,Yes,38,Yes,No,One year,Bank transfer,100.99,1297.01,2021-08-17T22:28:49,Yes
CUST1039,Male,1,No,Yes,61,Yes,,Month-to-month,,,7420.9,2024-02-08T14:05:53,No
CUST1040,Male,0,Yes,No,11,Yes,No,Month-to-month,Electronic check,100.94,7682.38,2024-01-12T13:19:31,No
CUST1041,Male,0,No,Yes,37,No,Fiber optic,Two year,Credit card,47.15,3522.19,2022-03-26T23:00:00,No
CUST1042,Female,0,Yes,Yes,57,Yes,DSL,Month-to-month,Credit card,89.31,1669.75,2022-12-26T09:06:46,No
CUST1043,Female,0,Yes,No,55,Yes,DSL,One year,Bank transfer,32.48,3839.47,2020-02-15T16:47:24,No
CUST1044,Female,0,Yes,No,38,No,Fiber optic,Two year,Mailed check,62.78,5912.33,2024-06-22T09:15:51,No
CUST1045,Female,0,No,Yes,3,Yes,DSL,One year,Bank transfer,72.05,1265.9,2023-02-04T03:05:17,No
CUST1046,Female,0,No,No,47,No,Fiber optic,One year,Bank transfer,92.53,2982.87,2023-10-02T12:13:51,No
CUST1047,Male,0,No,Yes,6,Yes,No,One year,Mailed check,85.0,1566.52,2020-02-17T13:30:45,No
CUST1048,Female,0,No,Yes,59,No,No,One year,Bank transfer,105.33,1321.62,2020-10-23T09:22:09,No
CUST1049,Female,0,No,No,39,Yes,DSL,Month-to-month,Credit card,38.43,2891.39,2022-05-01T12:35:56,Yes
CUST1050,Male,0,No,No,7,No,DSL,Two year,Credit card,86.12,560.99,2025-09-06T09:40:58,No
CUST1051,Female,0,Yes,No,57,No,DSL,Month-to-month,Mailed check,32.78,,2023-06-16T00:06:45,No
CUST1052,Male,0,Yes,No,56,No,No,Two year,Credit card,67.81,5148.14,2024-03-01T14:41:40,Yes
CUST1053,Female,0,No,Yes,34,No,Fiber optic,Month-to-month,Mailed check,72.46,6307.41,2023-04-30T01:12:09,No
CUST1054,Male,0,No,No,12,No,DSL,Two year,Mailed check,22.73,199.43,2022-05-17T02:04:11,Yes
CUST1055,Female,0,No,No,38,No,Fiber optic,One year,Bank transfer,27.04,7013.05,2022-10-04T02:30:27,No
CUST1056,Female,0,No,Yes,20,Yes,DSL,One year,Mailed check,103.93,5758.69,2022-05-13T14:40:52,Yes
CUST1057,Male,0,No,Yes,46,No,DSL,Month-to-month,Credit card,48.68,7004.11,2022-09-03T17:39:36,Yes
CUST1058,Male,0,Yes,Yes,1,No,DSL,Month-to-month,Credit card,54.61,5904.6,2021-04-22T11:22:03,No
CUST1059,Male,0,Yes,No,43,No,Fiber optic,One year,Electronic check,84.04,7245.09,2021-07-07T01:58:21,No
CUST1060,Male,1,Yes,Yes,29,No,Fiber optic,Month-to-month,Credit card,42.07,599.07,2022-06-18T13:43:19,No
CUST1061,Male,1,Yes,No,54,Yes,Fiber optic,Month-to-month,Bank transfer,39.29,7458.64,2025-04-03T06:33:58,No
CUST1062,Male,0,Yes,No,39,No,No,Two year,Mailed check,62.15,6081.55,2023-04-01T17:32:33,No
CUST1063,Male,0,Yes,No,23,Yes,No,Two year,Credit card,25.9,3984.2,2020-03-03T17:35:35,No
CUST1064,Male,0,Yes,No,41,No,No,Two year,Electronic check,111.7,7542.93,2024-06-13T17:36:44,Yes
CUST1065,Female,0,Yes,Yes,27,Yes,Fiber optic,Month-to-month,Electronic check,114.01,6459.67,2022-04-26T12:00:09,Yes
CUST1066,Female,0,No,Yes,50,Yes,No,One year,Mailed check,64.82,4780.41,2024-11-06T00:29:50,Yes
CUST1067,Male,0,No,Yes,21,Yes,DSL,One year,Credit card,40.92,4044.08,2025-05-13T13:36:41,No
CUST1068,Female,1,Yes,Yes,7,No,Fiber optic,One year,Credit card,67.06,,2021-06-22T00:18:34,No
CUST1069,Female,0,Yes,Yes,13,Yes,DSL,One year,Electronic check,29.99,2204.52,2023-02-17T12:23:17,Yes
CUST1070,Female,0,Yes,No,44,No,DSL,Two year,Credit card,59.78,5320.77,2022-11-30T10:50:57,No
CUST1071,Female,0,No,No,37,No,Fiber optic,Two year,Credit card,27.37,1304.51,2022-12-21T14:20:35,No
CUST1072,Male,0,No,No,31,No,DSL,Month-to-month,Mailed check,90.62,7352.0,2021-08-30T15:26:37,No
CUST1073,Female,0,Yes,No,61,Yes,Fiber optic,One year,Credit card,47.57,,2023-07-14T17:49:23,No
CUST1074,Male,1,No,Yes,66,Yes,No,Month-to-month,Credit card,72.07,937.25,2022-02-06T08:32:02,No
CUST1075,Female,0,Yes,No,60,No,Fiber optic,One year,Electronic check,21.35,1934.44,2020-03-09T01:19:40,No
CUST1076,Female,0,Yes,No,12,Yes,Fiber optic,One year,Bank transfer,72.46,1184.28,2023-07-06T12:45:17,No
CUST1077,Female,0,Yes,No,46,No,DSL,Month-to-month,Credit card,20.33,6173.0,2022-07-04T22:33:26,No
CUST1078,Male,0,Yes,No,53,Yes,DSL,Two year,Mailed check,112.52,1767.74,2020-10-23T09:35:21,No
CUST1079,Female,0,Yes,No,70,No,DSL,Month-to-month,Electronic check,70.12,3205.72,2023-06-27T04:30:58,Yes
CUST1080,Male,0,No,No,51,No,,Month-to-month,,,2784.75,2021-11-30T02:58:42,Yes
